ESTADO,MUNICIPIO,LATITUD,LONGITUD,PEA
AGUASCALIENTES,Aguascalientes,21.87982278,-102.2960467,445862
AGUASCALIENTES,Asientos,22.23831694,-102.089275,2086
AGUASCALIENTES,Calvillo,21.84690722,-102.7187506,9653
AGUASCALIENTES,Cosío,22.36640861,-102.3000442,2679
AGUASCALIENTES,Jesús María,21.96127278,-102.3434164,32482
AGUASCALIENTES,Pabellón de Arteaga,22.14920167,-102.2765417,15404
AGUASCALIENTES,Rincón de Romos,22.22923306,-102.3230686,15294
AGUASCALIENTES,San José de Gracia,22.15021639,-102.4156336,2407
AGUASCALIENTES,Tepezalá,22.22422778,-102.1669714,1981
AGUASCALIENTES,El Llano,21.91886917,-101.9653072,2503
AGUASCALIENTES,San Francisco de los Romo,22.07239306,-102.2726783,8931
BAJA CALIFORNIA,Ensenada,31.80894389,-116.5951339,174405
BAJA CALIFORNIA,Mexicali,32.64117583,-115.4755789,453937
BAJA CALIFORNIA,Tecate,32.57267889,-116.6265503,41838
BAJA CALIFORNIA,Tijuana,32.53246083,-117.0189133,991033
BAJA CALIFORNIA,Playas de Rosarito,32.36368417,-117.0544589,54144
BAJA CALIFORNIA,San Quintín,30.55648528,-115.9390614,2610
BAJA CALIFORNIA SUR,Comondú,25.03463556,-111.6733394,21620
BAJA CALIFORNIA SUR,Mulegé,27.33686833,-112.2682747,7491
BAJA CALIFORNIA SUR,La Paz,24.148745,-110.30659,132619
BAJA CALIFORNIA SUR,Los Cabos,23.06159139,-109.6947492,76114
BAJA CALIFORNIA SUR,Loreto,26.01277778,-111.3433333,8221
CAMPECHE,Calkiní,20.37122611,-90.05073944,7827
CAMPECHE,Campeche,19.84481417,-90.53964917,127253
CAMPECHE,Champotón,19.35621861,-90.72389111,16983
CAMPECHE,Hecelchakán,20.17696611,-90.13451722,5678
CAMPECHE,Hopelchén,19.74554806,-89.84504361,3831
CAMPECHE,Palizada,18.25359833,-92.09090167,1634
CAMPECHE,Tenabo,20.03967694,-90.22576333,4378
CAMPECHE,Escárcega,18.60431472,-90.73200083,14749
CAMPECHE,Calakmul,18.50537083,-89.39727556,2701
CAMPECHE,Candelaria,18.18345056,-91.04629361,5483
CAMPECHE,Seybaplaya,19.63919694,-90.68830111,4351
COAHUILA,Abasolo,27.18194444,-101.4263889,327
COAHUILA,Acuña,29.33000556,-100.9782583,81641
COAHUILA,Allende,28.34722222,-100.8541667,9102
COAHUILA,Arteaga,25.45062056,-100.8496225,7806
COAHUILA,Candela,26.84027778,-100.6638889,439
COAHUILA,Castaños,26.78527778,-101.4305556,10920
COAHUILA,Cuatro Ciénegas,26.98686361,-102.0671011,4409
COAHUILA,Escobedo,27.23472222,-101.4125,219
COAHUILA,Francisco I. Madero,25.775,-103.2730556,15299
COAHUILA,Frontera,26.92611111,-101.4494444,32959
COAHUILA,General Cepeda,25.3799075,-101.4792917,2319
COAHUILA,Guerrero,28.30841833,-100.3787256,318
COAHUILA,Hidalgo,27.79168056,-99.876055,548
COAHUILA,Jiménez,29.07030833,-100.6742275,488
COAHUILA,Juárez,27.60650639,-100.7271197,344
COAHUILA,Lamadrid,27.04849361,-101.7935992,555
COAHUILA,Matamoros,25.52813611,-103.2303836,27948
COAHUILA,Monclova,26.90124222,-101.4172244,108199
COAHUILA,Morelos,28.41010444,-100.8866314,2791
COAHUILA,Múzquiz,27.87754972,-101.5165178,16475
COAHUILA,Nadadores,27.02903056,-101.5920233,1833
COAHUILA,Nava,28.42187472,-100.7675536,10744
COAHUILA,Ocampo,27.311215,-102.3974047,1352
COAHUILA,Parras,25.43738056,-102.1841689,16898
COAHUILA,Piedras Negras,28.70809306,-100.5284414,84065
COAHUILA,Progreso,27.42897778,-100.9872333,203
COAHUILA,Ramos Arizpe,25.54323361,-100.9507819,57054
COAHUILA,Sabinas,27.84888833,-101.1199892,27516
COAHUILA,Sacramento,27.00443861,-101.7250358,882
COAHUILA,Saltillo,25.42166472,-100.9997211,417316
COAHUILA,San Buenaventura,27.06025722,-101.5500286,9978
COAHUILA,San Juan de Sabinas,27.92939028,-101.3032933,512
COAHUILA,San Pedro,25.75777778,-102.9831569,21848
COAHUILA,Sierra Mojada,27.28687694,-103.7014567,184
COAHUILA,Torreón,25.54175333,-103.4530606,344016
COAHUILA,Viesca,25.34360528,-102.8063503,1251
COAHUILA,Villa Unión,28.22049778,-100.725155,2063
COAHUILA,Zaragoza,28.48704306,-100.9176217,4671
