ESTADO,MUNICIPIO,Ubicación_propuesta,LATITUD,LONGITUD,LATITUD_1,LONGITUD_1,PEA
AGUASCALIENTES,Aguascalientes,Nuevo CAP,21.87982278,-102.2960467,21.98639118,-102.2952408,445862
AGUASCALIENTES,Asientos,Nuevo CAP,22.23831694,-102.089275,21.98639118,-102.2952408,2086
AGUASCALIENTES,Calvillo,Nuevo CAP,21.84690722,-102.7187506,21.98639118,-102.2952408,9653
AGUASCALIENTES,Cosío,Nuevo CAP,22.36640861,-102.3000442,21.98639118,-102.2952408,2679
AGUASCALIENTES,Jesús María,Nuevo CAP,21.96127278,-102.3434164,21.98639118,-102.2952408,32482
AGUASCALIENTES,Pabellón de Arteaga,Nuevo CAP,22.14920167,-102.2765417,21.98639118,-102.2952408,15404
AGUASCALIENTES,Rincón de Romos,Nuevo CAP,22.22923306,-102.3230686,21.98639118,-102.2952408,15294
AGUASCALIENTES,San José de Gracia,Nuevo CAP,22.15021639,-102.4156336,21.98639118,-102.2952408,2407
AGUASCALIENTES,Tepezalá,Nuevo CAP,22.22422778,-102.1669714,21.98639118,-102.2952408,1981
AGUASCALIENTES,El Llano,Nuevo CAP,21.91886917,-101.9653072,21.98639118,-102.2952408,2503
AGUASCALIENTES,San Francisco de los Romo,Nuevo CAP,22.07239306,-102.2726783,21.98639118,-102.2952408,8931
BAJA CALIFORNIA,Ensenada,Nuevo CAP,31.80894389,-116.5951339,32.38588277,-116.4808403,174405
BAJA CALIFORNIA,Mexicali,Nuevo CAP,32.64117583,-115.4755789,32.38588277,-116.4808403,453937
BAJA CALIFORNIA,Tecate,Nuevo CAP,32.57267889,-116.6265503,32.38588277,-116.4808403,41838
BAJA CALIFORNIA,Tijuana,Nuevo CAP,32.53246083,-117.0189133,32.38588277,-116.4808403,991033
BAJA CALIFORNIA,Playas de Rosarito,Nuevo CAP,32.36368417,-117.0544589,32.38588277,-116.4808403,54144
BAJA CALIFORNIA,San Quintín,Nuevo CAP,30.55648528,-115.9390614,32.38588277,-116.4808403,2610
